 [DEBUG] 2019-08-12 22:34:26,453 [MainThread:3852] [django.utils.autoreload:340] [autoreload:tick] - File D:\niki\test-dev-code\haizeiclass\django_interface_project\venv\Lib\site-packages\django\db\models\query_utils.py first seen with mtime 1563109889.5076306
 [DEBUG] 2019-08-12 22:34:26,453 [MainThread:3852] [django.utils.autoreload:340] [autoreload:tick] - File D:\niki\test-dev-code\haizeiclass\django_interface_project\venv\Lib\site-packages\django\utils\version.py first seen with mtime 1563109889.6757839
 [DEBUG] 2019-08-12 22:34:26,453 [MainThread:3852] [django.utils.autoreload:340] [autoreload:tick] - File D:\niki\test-dev-code\haizeiclass\django_interface_project\venv\Lib\site-packages\sqlparse\utils.py first seen with mtime 1563109900.2947955
 [DEBUG] 2019-08-12 22:34:26,453 [MainThread:3852] [django.utils.autoreload:340] [autoreload:tick] - File D:\niki\test-dev-code\haizeiclass\django_interface_project\venv\Lib\site-packages\django\forms\fields.py first seen with mtime 1563109889.5366578
 [DEBUG] 2019-08-12 22:34:26,453 [MainThread:3852] [django.utils.autoreload:340] [autoreload:tick] - File D:\niki\test-dev-code\haizeiclass\django_interface_project\venv\Lib\site-packages\pytz\tzfile.py first seen with mtime 1563109899.071198
 [DEBUG] 2019-08-12 22:34:26,454 [MainThread:3852] [django.utils.autoreload:340] [autoreload:tick] - File C:\ProgramData\Anaconda3\Lib\email\base64mime.py first seen with mtime 1540019059.0
 [DEBUG] 2019-08-12 22:34:26,454 [MainThread:3852] [django.utils.autoreload:340] [autoreload:tick] - File D:\niki\test-dev-code\haizeiclass\django_interface_project\interface_main\models.py first seen with mtime 1563109917.3671377
 [DEBUG] 2019-08-12 22:34:26,454 [MainThread:3852] [django.utils.autoreload:340] [autoreload:tick] - File C:\ProgramData\Anaconda3\Lib\email\generator.py first seen with mtime 1540019059.0
 [DEBUG] 2019-08-12 22:34:26,454 [MainThread:3852] [django.utils.autoreload:340] [autoreload:tick] - File D:\niki\test-dev-code\haizeiclass\django_interface_project\venv\Lib\site-packages\django\core\files\temp.py first seen with mtime 1563109889.370996
 [DEBUG] 2019-08-12 22:34:26,454 [MainThread:3852] [django.utils.autoreload:340] [autoreload:tick] - File D:\niki\test-dev-code\haizeiclass\django_interface_project\venv\Lib\site-packages\sqlparse\cli.py first seen with mtime 1563109900.28879
 [DEBUG] 2019-08-12 22:34:26,454 [MainThread:3852] [django.utils.autoreload:340] [autoreload:tick] - File C:\ProgramData\Anaconda3\DLLs\_ctypes.pyd first seen with mtime 1544507699.0
 [DEBUG] 2019-08-12 22:34:26,454 [MainThread:3852] [django.utils.autoreload:340] [autoreload:tick] - File D:\niki\test-dev-code\haizeiclass\django_interface_project\venv\Lib\site-packages\django\views\decorators\__init__.py first seen with mtime 1563109889.6877947
 [DEBUG] 2019-08-12 22:34:26,455 [MainThread:3852] [django.utils.autoreload:340] [autoreload:tick] - File D:\niki\test-dev-code\haizeiclass\django_interface_project\venv\Lib\site-packages\django\apps\config.py first seen with mtime 1563109886.1459663
 [DEBUG] 2019-08-12 22:34:26,455 [MainThread:3852] [django.utils.autoreload:340] [autoreload:tick] - File D:\niki\test-dev-code\haizeiclass\django_interface_project\venv\Lib\site-packages\sqlparse\filters\right_margin.py first seen with mtime 1563109900.3038037
 [DEBUG] 2019-08-12 22:34:26,455 [MainThread:3852] [django.utils.autoreload:340] [autoreload:tick] - File D:\niki\test-dev-code\haizeiclass\django_interface_project\venv\Lib\site-packages\pytz\tzinfo.py first seen with mtime 1563109899.0721989
 [DEBUG] 2019-08-12 22:34:26,455 [MainThread:3852] [django.utils.autoreload:340] [autoreload:tick] - File D:\niki\test-dev-code\haizeiclass\django_interface_project\venv\Lib\site-packages\django\db\models\__init__.py first seen with mtime 1563109889.4966214
 [DEBUG] 2019-08-12 22:34:26,455 [MainThread:3852] [django.utils.autoreload:340] [autoreload:tick] - File C:\ProgramData\Anaconda3\Lib\importlib\abc.py first seen with mtime 1540019059.0
 [DEBUG] 2019-08-12 22:34:26,455 [MainThread:3852] [django.utils.autoreload:340] [autoreload:tick] - File D:\niki\test-dev-code\haizeiclass\django_interface_project\venv\Lib\site-packages\django\db\backends\utils.py first seen with mtime 1563109889.426046
 [DEBUG] 2019-08-12 22:34:26,455 [MainThread:3852] [django.utils.autoreload:340] [autoreload:tick] - File D:\niki\test-dev-code\haizeiclass\django_interface_project\venv\Lib\site-packages\django\contrib\auth\checks.py first seen with mtime 1563109887.2749937
 [DEBUG] 2019-08-12 22:34:26,455 [MainThread:3852] [django.utils.autoreload:340] [autoreload:tick] - File C:\ProgramData\Anaconda3\Lib\string.py first seen with mtime 1540019059.0
 [DEBUG] 2019-08-12 22:34:26,456 [MainThread:3852] [django.utils.autoreload:340] [autoreload:tick] - File D:\niki\test-dev-code\haizeiclass\django_interface_project\venv\Lib\site-packages\django\db\models\fields\mixins.py first seen with mtime 1563109889.5126357
 [DEBUG] 2019-08-12 22:34:26,456 [MainThread:3852] [django.utils.autoreload:340] [autoreload:tick] - File C:\ProgramData\Anaconda3\Lib\bisect.py first seen with mtime 1540019059.0
 [DEBUG] 2019-08-12 22:34:26,456 [MainThread:3852] [django.utils.autoreload:340] [autoreload:tick] - File D:\niki\test-dev-code\haizeiclass\django_interface_project\venv\Lib\site-packages\django\contrib\sessions\base_session.py first seen with mtime 1563109888.9105773
 [DEBUG] 2019-08-12 22:34:26,456 [MainThread:3852] [django.utils.autoreload:340] [autoreload:tick] - File D:\niki\test-dev-code\haizeiclass\django_interface_project\venv\Lib\site-packages\django\contrib\auth\management\__init__.py first seen with mtime 1563109887.4871876
 [DEBUG] 2019-08-12 22:34:26,456 [MainThread:3852] [django.utils.autoreload:340] [autoreload:tick] - File D:\niki\test-dev-code\haizeiclass\django_interface_project\venv\Lib\site-packages\django\core\exceptions.py first seen with mtime 1563109889.3419693
 [DEBUG] 2019-08-12 22:34:26,456 [MainThread:3852] [django.utils.autoreload:340] [autoreload:tick] - File D:\niki\test-dev-code\haizeiclass\django_interface_project\venv\Lib\site-packages\django\db\backends\signals.py first seen with mtime 1563109889.425045
 [DEBUG] 2019-08-12 22:34:26,456 [MainThread:3852] [django.utils.autoreload:340] [autoreload:tick] - File D:\niki\test-dev-code\haizeiclass\django_interface_project\venv\Lib\site-packages\django\conf\global_settings.py first seen with mtime 1563109886.149971
 [DEBUG] 2019-08-12 22:34:26,456 [MainThread:3852] [django.utils.autoreload:340] [autoreload:tick] - File D:\niki\test-dev-code\haizeiclass\django_interface_project\venv\Lib\site-packages\django\core\files\utils.py first seen with mtime 1563109889.3739989
 [DEBUG] 2019-08-12 22:34:26,457 [MainThread:3852] [django.utils.autoreload:340] [autoreload:tick] - File D:\niki\test-dev-code\haizeiclass\django_interface_project\venv\Lib\site-packages\django\core\checks\database.py first seen with mtime 1563109889.3559823
 [DEBUG] 2019-08-12 22:34:26,457 [MainThread:3852] [django.utils.autoreload:340] [autoreload:tick] - File C:\ProgramData\Anaconda3\Lib\base64.py first seen with mtime 1540019059.0
 [DEBUG] 2019-08-12 22:34:26,457 [MainThread:3852] [django.utils.autoreload:340] [autoreload:tick] - File C:\ProgramData\Anaconda3\Lib\urllib\request.py first seen with mtime 1540019059.0
 [DEBUG] 2019-08-12 22:34:26,457 [MainThread:3852] [django.utils.autoreload:340] [autoreload:tick] - File C:\ProgramData\Anaconda3\Lib\http\cookies.py first seen with mtime 1540019059.0
 [DEBUG] 2019-08-12 22:34:26,457 [MainThread:3852] [django.utils.autoreload:340] [autoreload:tick] - File D:\niki\test-dev-code\haizeiclass\django_interface_project\venv\Lib\site-packages\django\db\migrations\__init__.py first seen with mtime 1563109889.4786158
 [DEBUG] 2019-08-12 22:34:26,457 [MainThread:3852] [django.utils.autoreload:340] [autoreload:tick] - File D:\niki\test-dev-code\haizeiclass\django_interface_project\venv\Lib\site-packages\django\views\debug.py first seen with mtime 1563109889.6837912
 [DEBUG] 2019-08-12 22:34:26,457 [MainThread:3852] [django.utils.autoreload:340] [autoreload:tick] - File D:\niki\test-dev-code\haizeiclass\django_interface_project\venv\Lib\site-packages\django\db\models\query.py first seen with mtime 1563109889.5066304
 [DEBUG] 2019-08-12 22:34:26,457 [MainThread:3852] [django.utils.autoreload:340] [autoreload:tick] - File D:\niki\test-dev-code\haizeiclass\django_interface_project\venv\Lib\site-packages\sqlparse\engine\__init__.py first seen with mtime 1563109900.2957964
 [DEBUG] 2019-08-12 22:34:26,458 [MainThread:3852] [django.utils.autoreload:340] [autoreload:tick] - File D:\niki\test-dev-code\haizeiclass\django_interface_project\venv\Lib\site-packages\django\conf\__init__.py first seen with mtime 1563109886.148969
